"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00427516","ST. GEORGE, UT US","1919-01-13",,,"54","21"
"USC00427516","ST. GEORGE, UT US","1919-01-14",,,"52","19"
"USC00427516","ST. GEORGE, UT US","1919-01-15",,,"47","20"
"USC00427516","ST. GEORGE, UT US","1919-01-16",,,"49","20"
"USC00427516","ST. GEORGE, UT US","1919-01-17",,,"53","29"
"USC00427516","ST. GEORGE, UT US","1919-01-18",,,"53","25"
"USC00427516","ST. GEORGE, UT US","1919-01-19",,,"56","26"
"USC00427516","ST. GEORGE, UT US","1919-01-20",,,"57","26"
"USC00427516","ST. GEORGE, UT US","1919-01-21",,,"60","24"
"USC00427516","ST. GEORGE, UT US","1919-01-22",,,"62","24"
"USC00427516","ST. GEORGE, UT US","1919-01-23",,,"58","20"
